id,name,latitude,longitude
162,Adlershof,13.54825,52.43548,
163,Adliswil,8.52462,47.30997,
164,Admiralteisky,30.28484,59.90839,
165,Ado Odo,2.93333,6.6,
166,Ado-Ekiti,5.22087,7.62329,
167,Adolfo Lopez Mateos,-99.26356,19.58722,
168,Adoni,77.27495,15.62788,
169,Adra,-3.02055,36.74961,
170,Adra,86.68363,23.49668,
171,Adrano,14.83283,37.66358,
172,Adrar,-0.29388,27.87429,
173,Adrian,-84.03717,41.89755,
174,Adrogue,-58.38384,-34.80041,
175,Adur,76.73192,9.15595,
176,Adzope,-3.86194,6.10694,
177,Affery,-3.95235,6.32035,
178,Affton,-90.33317,38.55061,
179,Afgooye,45.1212,2.1381,
180,Afikpo,7.93534,5.89258,
181,Afipskiy,38.84265,44.90005,
182,Aflou,2.10228,34.11279,
183,Afogados da Ingazeira,-37.63917,-7.75083,
184,Afragola,14.30935,40.92298,
185,Afsin,36.91399,38.24769,
186,Afyonkarahisar,30.54333,38.75667,
187,Afzalgarh,78.67393,29.3937,
188,Afzalpur,76.36018,17.19986,
189,Agadez,7.99111,16.97333,
190,Agadir,-9.59815,30.42018,
191,Agar,76.01571,23.71177,
192,Agaro,36.65,7.85,
193,Agartala,91.27939,23.83605,
194,Agawam,-72.61481,42.06954,
195,Agbor,6.1942,6.25375,
196,Agboville,-4.21319,5.92801,
197,Agdam,46.92736,39.99096,
198,Agdas,47.4738,40.64699,
199,Agde,3.47583,43.31083,
200,Agdzhabedy,47.45937,40.05015,
201,Agen,0.63333,44.2,
202,Ageoshimo,139.61382,35.97145,
203,Aghajari,49.8315,30.7006,
204,Aghsu,48.40087,40.57028,
205,Agia Paraskevi,23.83333,38.01667,
206,Agia Varvara,23.66011,37.98938,
207,Aginskoye,114.53,51.1,
208,Agioi Anargyroi,23.72379,38.03013,
209,Agios Dimitrios,23.73333,37.93333,
210,Agios Ioannis Rentis,23.66511,37.96491,
211,Agnibilekrou,-3.20415,7.13113,
212,Agogo,-1.08193,6.80004,
213,Agoo,120.1,16.08333,
214,Agoura,-118.73787,34.14306,
215,Agoura Hills,-118.77453,34.13639,
216,Agra,78.01667,27.18333,
