id,title,language,author
113,"The Great English Short Story Writers  Vol  1","English","Various"
114,"The Book of Household Management","English","Mrs  Isabella Beeton"
115,"The Atlantic Monthly  Volume 1  Issue 2  December  1857","English","Various"
116,"The Faith of the Millions  2nd series ","English","George Tyrrell"
117,"The Lure of the Dim Trails","English","by  AKA B  M  Sinclair  B  M  Bower"
118,"A Discourse on the Life  Character and Writings of Gulian Crommelin","English","William Cullen Bryant"
119,"Turkey: A Past and a Future","English","Arnold Joseph Toynbee"
120,"Reminiscences of Pioneer Days in St  Paul","English","Frank Moore"
121,"America s War for Humanity","English","Thomas Herbert Russell"
122,"The Merry Adventures of Robin Hood","English","Howard Pyle"
123,"Home as Found","English","James Fenimore Cooper"
124,"The Oregon Trail","English","Francis Parkman  Jr "
125,"Dracula s Guest","English","Bram Stoker"
126,"The Great Events by Famous Historians  Volume 5","English","Various"
127,"On the Improvement of the Understanding","English","Baruch Spinoza   Benedict de Spinoza "
128,"The Black Creek Stopping House","English","Nellie McClung"
129,"Across the Zodiac","English","Percy Greg"
130,"What Germany Thinks","English","Thomas F  A  Smith"
131,"Poems","English"," AKA Charlotte  Emily and Anne Bronte  Currer  Ellis  and Acton Bell"
132,"The Tragedy of Pudd nhead Wilson","English","Mark Twain  Samuel Clemens "
133,"Sword Blades and Poppy Seed","English","Amy Lowell"
134,"The Congo and Other Poems","English","Vachel Lindsay"
135,"Walking","English","Henry David Thoreau"
136,"Daddy Takes Us Skating","English","Howard R  Garis"
137,"Purple Springs","English","Nellie L  McClung"
138,"Our Little Alaskan Cousin","English","Mary F  Nixon Roulet"
139,"Bleak House","English","Charles Dickens"
140,"The Wrecker","English","Robert Louis Stevenson and Lloyd Osbourne"
141, , , 
142,"Town Geology","English","Charles Kingsley"
143,"The Lone Star Ranger","English","Zane Grey"
144,"Sermons on Evil Speaking","English","Isaac Barrow"
145,"The Professor","English"," AKA Charlotte Bronte  Currer Bell"
146,"The Night Born","English","Jack London"
147,"Around the World in 80 Days","English","Jules Verne"
148,"Audio: After Dinner Toast at Little Menlo","English","Arthur Sullivan"
149,"Persian Literature  Volume 1 Comprising The Shah Nameh  The","English","Anonymous"
150,"Roy Blakeley s Adventures in Camp","English","Percy Keese Fitzhugh"
151,"Damon and Delia","English","William Godwin"
152,"The Pupil","English","Henry James"
153,"The Rover Boys at College","English","Edward Stratemeyer"
154,"The Gospel of the Pentateuch","English","Charles Kingsley"
155,"David","English","Charles Kingsley"
156,"Rose O  the River","English","Kate Douglas Wiggin"
157,"Fruitfulness","English","Emile Zola"
158,"The European Anarchy","English","G  Lowes Dickinson"
159,"A Select Collection of Old English Plays  Vol  VII  4th edition ","English","Various"
160,"Lady Into Fox","English","David Garnett"
161,"Poems","English","Wilfred Owen"
162,"The Works of Charles and Mary Lamb  Volume 2","English","Charles Lamb"
163,"Domestic Manners of the Americans","English","Fanny Trollope"
164,"Audio: Go to Sea Once More","English","Roger McGuinn"
165,"The Man Against the Sky","English","Edwin Arlington Robinson"
166,"The Works of Samuel Johnson  Vol  10 ","English","Samuel Johnson"
167,"Travels in Morocco  Vol  1 ","English","James Richardson"
168,"Travels in Morocco  Vol  2 ","English","James Richardson"
169,"Life Of Johnson  Volume 4  of 6 ","English","Boswell"
170,"The Boss of Little Arcady","English","Harry Leon Wilson"
171,"Aunt Jane s Nieces at Millville","English","Edith Van Dyne"
172,"Joe Wilson and His Mates","English","Henry Lawson"
173,"Kitty s Class Day And Other Stories","English","Louisa M  Alcott"
174,"The Creative Process in the Individual","English","Thomas Troward"
175,"Sketches of the East Africa Campaign","English","Robert Valentine Dolbey"
176,"Yeast: A Problem","English","Charles Kingsley"
177,"Freedom s Battle","English","Mahatma Gandhi"
178,"The Life of John Bunyan","English","Edmund Venables"
179,"The Middle Temple Murder","English","J S  Fletcher"
180,"The Ramblin  Kid","English","Earl Wayland Bowman"
181,"The Evil Guest","English","J  Sheridan Le Fanu"
182,"The Real America in Romance  Volume 6  A Century Too Soon  A Story","English","John R  Musick"
183,"Old English Plays  Vol  I","English","Various"
184,"Missionary Travels and Researches in South Africa","English","David Livingstone"
185,"The Edinburgh Lectures on Mental Science","English","Thomas Troward"
186,"The Wolf s Long Howl","English","Stanley Waterloo"
187,"Affairs of State","English","Burton E  Stevenson"
188,"The American Child","English","Elizabeth McCracken"
189,"Franklin Delano Roosevelt s First Inaugural Address","English","Franklin Delano Roosevelt"
190,"The Three Taverns","English","Edwin Arlington Robinson"
191,"A Man and His Money","English","Frederic Stewart Isham"
192,"Twixt France and Spain","English","E  Ernest Bilbrough"
193,"Man Size","English","William MacLeod Raine"
194,"Shakespeare s Sonnets","English","William Shakespeare"
195,"The Money Moon","English","Jeffery Farnol"
196,"The Forest Monster of Oz","English","Bob Evans"
197,"The Principles of Success in Literature","English","George Henry Lewes"
198,"The Life of Lord Byron","English","John Galt"
199,"Caesar Dies","English","Talbot Mundy"
200,"Scientific Essays and Lectures","English","Charles Kingsley"
201,"Miss Lulu Bett","English","Zona Gale"
202,"The Story of Evolution","English","Joseph McCabe"
203,"Trips to the Moon","English","Lucian"
204,"Thirty Years a Slave","English","Louis Hughes"
205,"Aunt Jane s Nieces Out West ","English","Edith Van Dyne"
206,"A Flock of Girls and Boys","English","Nora Perry"
207,"Wyandotte","English","James Fenimore Cooper"
208,"The Atlantic Monthly  Volume 2  Issue 12  October  1858","English","Various"
209,"Erick and Sally","English","Johanna Spyri"
210,"Pulpit and Press  6th Edition ","English","Mary Baker Eddy"
211,"Up the Hill and Over","English","Isabel Ecclestone Mackay"
212,"From Yauco to Las Marias","English","Karl Stephen Herrman"
213,"Tutt and Mr  Tutt","English","Arthur Train"
214,"The Green Mouse","English","Robert W  Chambers"
215,"The Rayner Slade Amalgamation ","English","J  S  Fletcher"
216,"The Peace Negotiations","English","Robert Lansing"
217,"American Big Game in Its Haunts","English","Various"
218,"The Green Flag","English","Arthur Conan Doyle"
219,"October Vagabonds ","English","Richard Le Gallienne"
220,"The Anti Slavery Harp","English","Various"
221,"Burnham Breaker","English","Homer Greene"
222,"Venus and Adonis","English","William Shakespeare"
223,"Punch  or the London Charivari  Vol  153  Aug  22  1917","English","Various"
224,"Atlantic Monthly  Volume 2  Issue 11  September  1858","English","Various"
225,"The Lonely Dancer and Other Poems","English","Richard Le Gallienne"
226,"Three short works","English","Gustave Flaubert"
227,"God The Invisible King","English","Herbert George Wells"
228,"Journals of Australian Explorations","English","A C and F T Gregory"
229,"The Little House in the Fairy Wood","English","Ethel Cook Eliot"
230,"A Child s Anti Slavery Book","English","Various"
231,"The Outdoor Girls of Deepdale ","English","Laura Lee Hope"
232,"Little Saint Elizabeth and Other Stories ","English","Frances Hodgson Burnett"
233,"A Select Collection of Old English Plays  Vol  VIII  4th edition ","English","Various"
234,"Aunt Jane s Nieces in Society","English","Edith Van Dyne"
235,"Johnny Crow s Garden","English","L  Leslie Brooke"
236,"The New Machiavelli","English","Herbert George Wells"
237,"Audio: Nine Hundred Miles","English","Roger McGuinn"
238,"The World s Greatest Books  Vol  I","English","Various"
239,"The Heart of the Range","English","William Patterson White"
240,"The Mirror of Literature  Amusement  and Instruction  Vol  12 ","English","Various"
241,"The Vanishing Man","English","R  Austin Freeman"
242,"Beacon Lights of History  Volume I","English","John Lord"
243,"Beacon Lights of History  Volume II","English","John Lord"
244,"Our Churches and Chapels","English","Atticus"
245,"The Ruling Passion","English","Henry van Dyke"
246,"Beacon Lights of History  Volume III","English","John Lord"
247,"Experiments in Government and the Essentials of the Constitution","English","Elihu Root"
248,"Audio: Twelve Gates to the City","English","Roger McGuinn"
249,"Audio: Alabama Bound","English","Roger McGuinn"
250,"Audio: Away in a Manger","English","Roger McGuinn"
251,"Vanished Arizona","English","Martha Summerhayes"
252,"Henry the Second","English","Mrs  J  R  Green"
253,"Under King Constantine","English","Katrina Trask"
254,"Red Masquerade","English","Louis Joseph Vance"
255,"Audio: Battle Hymn of the Republic","English","Roger McGuinn"
256,"Audio: Ain  No Mo  Cane on De Brazis","English","Roger McGuinn"
257,"Audio: Delia s Gone","English","Roger McGuinn"
258,"Persuasion","English","Jane Austen"
259,"Dark Lady of the Sonnets","English","George Bernard Shaw"
260,"Audio: Heave Away","English","Roger McGuinn"
261,"Audio: The Whale Catchers","English","Roger McGuinn"
262,"Audio: John Henry","English","Roger McGuinn"
263,"Audio: Liverpool Gals","English","Roger McGuinn"
264,"Audio: Waltzing Matilda","English","Roger McGuinn"
265,"The Sorrows of a Show Girl","English","Kenneth McGaffey"
266,"The Bars of Iron","English","Ethel May Dell"
267,"Sartor Resartus","English","Thomas Carlyle"
268,"Inaugural Presidential Address","English","William Jefferson Clinton"
269,"A Rogue by Compulsion","English","Victor Bridges"
270,"On the Seashore","English","R  Cadwallader Smith"
271,"Rhymes of a Roughneck","English","Pat O Cotter"
272,"Step by Step","English","The American Tract Society"
273,"The Compleat Cook","English","Anonymous  given as  W  M  "
274,"The Primadonna","English","F  Marion Crawford"
275,"Beacon Lights of History  Volume IV","English","John Lord"
276,"Audio: We Wish You a Merry Christmas","English","Roger McGuinn"
